Invoice Number,Company name,Customer Name,Invoice Date,Due Date,Payment Terms,Product/Service,SKU,Description,Quantity,Rate, Item Amount , Item Tax Amount ,Tax Code,Revenue Account,Memo
INV-1001,BlueWave Logistics,Manufacturing / Logistics,01/08/2026,02/07/2026,Net 30,Brand Identity Package,BRD-02,Full brand identity engagement,1,"$4,500.00"," $4,500.00 ", $720.00 ,16.0% S,4120 Branding & Identity Revenue,One-off project
INV-1002,BlueWave Logistics,Manufacturing / Logistics,01/20/2026,02/19/2026,Net 30,Social Media Monthly Retainer,SM-01,January retainer,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4150 Social Media Management Revenue,Recurring retainer - month 1 of 3
INV-1003,BlueWave Logistics,Manufacturing / Logistics,02/20/2026,03/22/2026,Net 30,Social Media Monthly Retainer,SM-01,February retainer,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4150 Social Media Management Revenue,Recurring retainer - month 2 of 3
INV-1004,BlueWave Logistics,Manufacturing / Logistics,03/20/2026,04/19/2026,Net 30,Social Media Monthly Retainer,SM-01,March retainer,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4150 Social Media Management Revenue,Recurring retainer - month 3 of 3
INV-1005,Harborline Outfitters LLC,Retail / E-commerce,01/15/2026,02/14/2026,Net 30,Product Photography Package,PHOTO-03,Spring catalog product shoot,1,$750.00, $750.00 , $120.00 ,16.0% S,4140 Photography Revenue,One-off project
INV-1006,Harborline Outfitters LLC,Retail / E-commerce,02/10/2026,03/12/2026,Net 30,Digital Ad Campaign Setup & Management,MKT-01,February campaign management,1,"$1,500.00"," $1,500.00 ", $240.00 ,16.0% S,4160 Marketing & Advertising Services,Recurring retainer - month 1 of 2
INV-1006,Harborline Outfitters LLC,Retail / E-commerce,02/10/2026,03/12/2026,Net 30,Client Ad Spend Pass-Through,MKT-02,"February ad spend, billed at actual cost (no markup)",1,$800.00, $800.00 , $128.00 ,16.0% S,4160 Marketing & Advertising Services,
INV-1007,Harborline Outfitters LLC,Retail / E-commerce,03/10/2026,04/09/2026,Net 30,Digital Ad Campaign Setup & Management,MKT-01,March campaign management,1,"$1,500.00"," $1,500.00 ", $240.00 ,16.0% S,4160 Marketing & Advertising Services,Recurring retainer - month 2 of 2
INV-1007,Harborline Outfitters LLC,Retail / E-commerce,03/10/2026,04/09/2026,Net 30,Client Ad Spend Pass-Through,MKT-02,"March ad spend, billed at actual cost (no markup)",1,$950.00, $950.00 , $152.00 ,16.0% S,4160 Marketing & Advertising Services,
INV-1008,Cedarbrook Family Dental,Healthcare,01/12/2026,01/27/2026,Net 15,Social Media Monthly Retainer,SM-01,January retainer,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4150 Social Media Management Revenue,Recurring retainer - month 1 of 3
INV-1009,Cedarbrook Family Dental,Healthcare,02/12/2026,02/27/2026,Net 15,Social Media Monthly Retainer,SM-01,February retainer,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4150 Social Media Management Revenue,Recurring retainer - month 2 of 3
INV-1009,Cedarbrook Family Dental,Healthcare,02/12/2026,02/27/2026,Net 15,Graphic Design - Hourly,GD-01,"New patient flyer design, 5 hrs",5,$95.00, $475.00 , $76.00 ,16.0% S,4110 Graphic Design Revenue,
