Invoice Number,Company name,Invoice Date,Due Date,Payment Terms,Product/Service,Description,Quantity,Rate, Amount , Tax Amount ,Tax Code,Revenue Account,Project/Reference,Memo
INV-1001,BlueWave Logistics,01/08/2026,02/07/2026,Net 30,Brand Identity Package,Full brand identity engagement,1,"$4,500.00"," $4,500.00 ", $720.00 ,16.0% S,4120 Branding & Identity Revenue,BWL-BRD-2026,One-off project
INV-1002,BlueWave Logistics,01/20/2026,02/19/2026,Net 30,Social Media Monthly Retainer,January retainer,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4150 Social Media Management Revenue,BWL-SM-2026,Recurring retainer - month 1 of 3
INV-1003,BlueWave Logistics,02/20/2026,03/22/2026,Net 30,Social Media Monthly Retainer,February retainer,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4150 Social Media Management Revenue,BWL-SM-2026,Recurring retainer - month 2 of 3
INV-1004,BlueWave Logistics,03/20/2026,04/19/2026,Net 30,Social Media Monthly Retainer,March retainer,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4150 Social Media Management Revenue,BWL-SM-2026,Recurring retainer - month 3 of 3
INV-1005,Harborline Outfitters LLC,01/15/2026,02/14/2026,Net 30,Product Photography Package,Spring catalog product shoot,1,$750.00, $750.00 , $120.00 ,16.0% S,4140 Photography Revenue,HAR-PHOTO-2026,One-off project
INV-1006,Harborline Outfitters LLC,02/10/2026,03/12/2026,Net 30,Digital Ad Campaign Setup & Management,February campaign management,1,"$1,500.00"," $1,500.00 ", $240.00 ,16.0% S,4160 Marketing & Advertising Services,HAR-ADS-2026,Recurring retainer - month 1 of 2
INV-1006,Harborline Outfitters LLC,02/10/2026,03/12/2026,Net 30,Client Ad Spend Pass-Through,"February ad spend, billed at actual cost (no markup)",1,$800.00, $800.00 , $128.00 ,16.0% S,4160 Marketing & Advertising Services,HAR-ADS-2026,"Pass-through cost, no markup"
INV-1007,Harborline Outfitters LLC,03/10/2026,04/09/2026,Net 30,Digital Ad Campaign Setup & Management,March campaign management,1,"$1,500.00"," $1,500.00 ", $240.00 ,16.0% S,4160 Marketing & Advertising Services,HAR-ADS-2026,Recurring retainer - month 2 of 2
INV-1007,Harborline Outfitters LLC,03/10/2026,04/09/2026,Net 30,Client Ad Spend Pass-Through,"March ad spend, billed at actual cost (no markup)",1,$950.00, $950.00 , $152.00 ,16.0% S,4160 Marketing & Advertising Services,HAR-ADS-2026,"Pass-through cost, no markup"
INV-1008,Cedarbrook Family Dental,01/12/2026,01/27/2026,Net 15,Social Media Monthly Retainer,January retainer,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4150 Social Media Management Revenue,CED-SM-2026,Recurring retainer - month 1 of 3
INV-1009,Cedarbrook Family Dental,02/12/2026,02/27/2026,Net 15,Social Media Monthly Retainer,February retainer,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4150 Social Media Management Revenue,CED-SM-2026,Recurring retainer - month 2 of 3
INV-1009,Cedarbrook Family Dental,02/12/2026,02/27/2026,Net 15,Graphic Design - Hourly,"New patient flyer design, 5 hrs",5,$95.00, $475.00 , $76.00 ,16.0% S,4110 Graphic Design Revenue,CED-SM-2026,Project ref: CED-GD-2026
