Payment Reference,Company,Customer,Invoice Number,Invoice Date,Payment Date,Payment Amount,Payment Method,Deposit Account,Amount Applied,Unapplied Amount
PMT-512,Route 9 Coffee Roasters,CUST-06,INV-1016,01/09/2026,01/09/2026,"$1,200.00",Credit Card,1300 Undeposited Funds,"$1,200.00",$0.00
PMT-508,Vantage Point Financial Advisors,CUST-04,INV-1011,01/01/2026,01/20/2026,"$2,500.00",ACH / Bank Transfer,1300 Undeposited Funds,"$2,500.00",$0.00
PMT-506,Cedarbrook Family Dental,CUST-03,INV-1008,01/12/2026,01/25/2026,"$1,200.00",ACH / Bank Transfer,1300 Undeposited Funds,"$1,200.00",$0.00
PMT-504,Harborline Outfitters LLC,CUST-02,INV-1005,01/15/2026,02/01/2026,$750.00,ACH / Bank Transfer,1300 Undeposited Funds,$750.00,$0.00
PMT-520,Meridian Tech Solutions,CUST-11,INV-1028,01/13/2026,02/08/2026,"$1,200.00",ACH / Bank Transfer,1300 Undeposited Funds,"$1,200.00",$0.00
PMT-513,Route 9 Coffee Roasters,CUST-06,INV-1017,02/09/2026,02/09/2026,"$2,700.00",Credit Card,1300 Undeposited Funds,"$2,700.00",$0.00
PMT-516,Northgate Property Group,CUST-08,INV-1020,01/16/2026,02/10/2026,"$1,800.00",ACH / Bank Transfer,1300 Undeposited Funds,"$1,800.00",$0.00
PMT-501,BlueWave Logistics,CUST-01,INV-1001,01/08/2026,02/12/2026,"$3,000.00",ACH / Bank Transfer,1300 Undeposited Funds,"$3,000.00",$0.00
PMT-502,BlueWave Logistics,CUST-01,INV-1002,01/20/2026,02/14/2026,"$1,200.00",ACH / Bank Transfer,1300 Undeposited Funds,"$1,200.00",$0.00
PMT-511,Marlow & Finch Law Group,CUST-05,INV-1014,01/22/2026,02/18/2026,"$4,500.00",ACH / Bank Transfer,1300 Undeposited Funds,"$4,500.00",$0.00
PMT-518,Bright Path Learning Center,CUST-09,INV-1023,01/27/2026,02/24/2026,$510.00,ACH / Bank Transfer,1300 Undeposited Funds,$510.00,$0.00
PMT-509,Vantage Point Financial Advisors,CUST-04,INV-1012,02/01/2026,02/25/2026,"$5,300.00",ACH / Bank Transfer,1300 Undeposited Funds,"$5,300.00",$0.00
PMT-521,Helping Hands Community Fund,CUST-12,INV-1030,01/19/2026,03/05/2026,"$1,020.00",ACH / Bank Transfer,1300 Undeposited Funds,"$1,020.00",$0.00
PMT-507,Cedarbrook Family Dental,CUST-03,INV-1009,02/12/2026,03/06/2026,"$1,675.00",ACH / Bank Transfer,1300 Undeposited Funds,"$1,675.00",$0.00
PMT-514,Route 9 Coffee Roasters,CUST-06,INV-1018,03/09/2026,03/10/2026,"$1,200.00",Credit Card,1300 Undeposited Funds,"$1,200.00",$0.00
PMT-505,Harborline Outfitters LLC,CUST-02,INV-1006,02/10/2026,03/11/2026,"$2,300.00",ACH / Bank Transfer,1300 Undeposited Funds,"$2,300.00",$0.00
PMT-515,Willow & Vine Events,CUST-07,INV-1019,02/18/2026,03/15/2026,"$5,100.00",ACH / Bank Transfer,1300 Undeposited Funds,"$5,100.00",$0.00
PMT-503,BlueWave Logistics,CUST-01,INV-1003,02/20/2026,03/19/2026,"$1,200.00",ACH / Bank Transfer,1300 Undeposited Funds,"$1,200.00",$0.00
PMT-517,Northgate Property Group,CUST-08,INV-1021,02/14/2026,03/20/2026,"$1,500.00",ACH / Bank Transfer,1300 Undeposited Funds,"$1,500.00",$0.00
PMT-519,Bright Path Learning Center,CUST-09,INV-1024,02/25/2026,03/26/2026,"$1,275.00",ACH / Bank Transfer,1300 Undeposited Funds,"$1,275.00",$0.00
PMT-510,Vantage Point Financial Advisors,CUST-04,INV-1013,03/01/2026,03/28/2026,"$2,500.00",ACH / Bank Transfer,1300 Undeposited Funds,"$2,500.00",$0.00
