Service Code,Service Name,Service Category,Detailed Description,Billing Method,Standard Selling Price,Revenue Account,Direct Cost Account,Default Tax Treatment,Typical Project Duration,Typical Deliverables,Notes,Item Type
BRD-01,Discovery Workshop,Branding,"Facilitated half-day or full-day workshop to define brand positioning, audience, and messaging pillars ahead of a branding engagement.",Fixed Fee,"$1,200.00",4120 Branding & Identity Revenue,,Non-taxable (professional service),1 day,Workshop summary deck; brand brief document,Often the entry point for new branding clients; frequently upsells into Brand Identity Package,Service
BRD-02,Brand Identity Package,Branding,"Full brand identity development: logo suite, color palette, typography system, and brand style guide.",Fixed Fee (Project Based),"$4,500.00",4120 Branding & Identity Revenue,5110 Freelance Designers,Non-taxable (professional service)*,4–6 weeks,"Logo suite (primary/secondary/icon), style guide PDF, brand asset library",*Some states tax design services when a tangible deliverable (printed guide) is provided — verify state nexus rules,Service
BRD-03,Brand Refresh,Branding,"Modernization of an existing brand identity: updated logo treatment, refreshed guidelines, no ground-up strategy work.",Fixed Fee (Project Based),"$2,800.00",4120 Branding & Identity Revenue,5110 Freelance Designers,Non-taxable (professional service),2–3 weeks,"Updated logo files, refreshed brand guideline PDF",Priced lower than full identity package due to reduced discovery scope,Service
GD-01,Graphic Design – Hourly,Graphic Design,Ad hoc hourly graphic design support for print and digital collateral outside of a packaged engagement.,Hourly,$95.00,4110 Graphic Design Revenue,5110 Freelance Designers (if subcontracted),Non-taxable (professional service),Varies,Deliverables vary by request; billed against timesheet,Tracked via QBO Projects/Timesheets for accurate WIP,Service
GD-02,Print Collateral Package,Graphic Design,"Design of a standard business print package: business cards, letterhead, and one signage or brochure piece.",Fixed Fee,"$1,500.00",4110 Graphic Design Revenue,5110 Freelance Designers,Non-taxable (professional service),2 weeks,"Print-ready files (business cards, letterhead, one collateral piece)",Print production/shipping billed separately if client requests physical prints,Service
GD-03,Freelance Design Subcontracting (Client Billback),Graphic Design,Client design work fulfilled through a freelance designer and billed to the client at a marked-up hourly rate.,Hourly (Billable Expense),$110.00,4110 Graphic Design Revenue,5110 Freelance Designers,Non-taxable (professional service),Varies,Same as underlying design deliverable,"Two-sided item: billed at $110/hr, contractor cost $55–$65/hr depending on assigned designer",Service
VID-01,Promotional Video – Full Day Shoot,Video Production,On-location video production including a full-day shoot with crew and a finished 60–90 second promotional video.,Project Based,"$3,500.00",4130 Video Production Revenue,5120 Freelance Video Editors,Non-taxable (professional service),1 shoot day + 1 week post,"Finished 60–90 sec video, 3 social cutdowns",Studio/equipment rental billed separately as pass-through if used,Service
VID-02,Video Editing – Per Project,Video Production,Post-production editing service for client-supplied or agency-shot raw footage.,Project Based,"$1,800.00",4130 Video Production Revenue,5120 Freelance Video Editors,Non-taxable (professional service),1–2 weeks,"Finished edited video, up to 2 rounds of revisions",No shoot day included — footage assumed to already exist,Service
VID-03,Studio Rental Pass-Through,Video Production,"Studio space rented on behalf of the client for a production day, billed at cost plus standard markup.",Billable Expense,$400.00,4130 Video Production Revenue,5220 Studio Rental,Non-taxable (reimbursed cost),1 day,N/A — cost pass-through line item,"Two-sided item: billed $400/day, vendor cost $300/day (Framework Studio Space)",Service
VID-04,Production Equipment Rental Pass-Through,Video Production,"Specialty camera, lighting, or grip equipment rented for a client shoot, billed at cost plus standard markup.",Billable Expense,$250.00,4130 Video Production Revenue,5210 Production Equipment Rental,Non-taxable (reimbursed cost),1 day,N/A — cost pass-through line item,"Two-sided item: billed $250/day, vendor cost $175/day (ProShoot Equipment Rentals)",Service
PHOTO-01,Corporate Photography – Half Day,Photography,Half-day on-location or in-studio corporate photography session.,Fixed Fee,$900.00,4140 Photography Revenue,5130 Freelance Photographers,Non-taxable (professional service)*,Half day,20–30 edited high-resolution images,*Delivery of digital files only avoids tangible-goods sales tax in most states,Service
PHOTO-02,Corporate Photography – Full Day,Photography,"Full-day on-location or in-studio corporate photography session, suited to multi-location or multi-subject shoots.",Fixed Fee,"$1,600.00",4140 Photography Revenue,5130 Freelance Photographers,Non-taxable (professional service),Full day,50+ edited high-resolution images,Standard package for real estate and multi-department corporate clients,Service
PHOTO-03,Product Photography Package,Photography,Studio product photography for e-commerce or catalog use.,Fixed Fee,$750.00,4140 Photography Revenue,5130 Freelance Photographers,Non-taxable (professional service),1 day,"15 edited, e-commerce-ready product images",Popular with retail/e-commerce clients ahead of seasonal launches,Service
MKT-01,Digital Ad Campaign Setup & Management,Marketing,"Setup, ongoing optimization, and monthly reporting for a client's paid digital advertising campaigns.",Monthly Retainer,"$1,500.00",4160 Marketing & Advertising Services,,Non-taxable (professional service),Ongoing (monthly),"Campaign setup, bi-weekly optimization, monthly performance report",Ad spend itself is billed separately (see MKT-02),Service
MKT-02,Client Ad Spend Pass-Through,Marketing,"Media spend placed on the client's behalf across paid social or paid search platforms, billed at cost.",Billable Expense,$0.00,4160 Marketing & Advertising Services,5310 Client Advertising Costs,Non-taxable (reimbursed cost),Ongoing (monthly),N/A — cost pass-through line item,"Billed at actual spend, no markup, per client agreement",Service
MKT-03,Marketing Strategy Session,Marketing,"Half-day strategic marketing planning session covering channel mix, messaging, and quarterly plan.",Fixed Fee,"$1,200.00",4160 Marketing & Advertising Services,,Non-taxable (professional service),Half day,"Strategy deck, quarterly marketing plan",Often precedes a Digital Ad Campaign or Social Media retainer,Service
MKT-04,Website Design,Marketing,"Custom marketing website design and build, including CMS setup and basic SEO configuration.",Project Based,"$3,200.00",4160 Marketing & Advertising Services,5320 Client-Specific Software (if licensed for client),Non-taxable (professional service),4–6 weeks,"Live website, CMS access, basic SEO setup",Hosting billed separately or passed through to client's own hosting account,Service
SM-01,Social Media Monthly Retainer,Social Media,"Ongoing monthly management of client social channels: content calendar, scheduling, and community management.",Monthly Retainer,"$1,200.00",4150 Social Media Management Revenue,,Non-taxable (professional service),Ongoing (monthly),"Monthly content calendar, scheduled posts, engagement report",Most common recurring revenue item in the catalogue,Service
SM-02,Social Media Content Package (8 Posts),Social Media,One-time package of 8 designed and edited social media posts.,Fixed Fee,$600.00,4150 Social Media Management Revenue,,Non-taxable (professional service),1 week,"8 designed/edited social posts, captions included",Used for clients not ready to commit to a full retainer,Service
SM-03,Paid Social (Meta) Ads Management,Social Media,Setup and ongoing management of paid Facebook/Instagram advertising campaigns.,Monthly Retainer,$900.00,4150 Social Media Management Revenue,5310 Client Advertising Costs (ad spend portion only),Non-taxable (professional service),Ongoing (monthly),"Campaign setup, monthly optimization, performance report",Management fee is retainer revenue; underlying ad spend flows through MKT-02-style pass-through,Service
CNS-01,Marketing Strategy Consulting – Hourly,Consulting,Ad hoc hourly strategic consulting outside of a packaged engagement.,Hourly,$175.00,4200 Consulting Revenue,,Non-taxable (professional service),Varies,Deliverables vary by engagement; billed against timesheet,Typically delivered directly by the Founder/Creative Director,Service
