Date,Description,Amount
03/01/2026,Intuit (QuickBooks Online) - INTU-JAN26,-90.0
06/01/2026,Adobe Inc. - BILL-2018,-59.99
06/01/2026,Microsoft 365 - BILL-2019,-28.0
08/01/2026,Canva Pro - CANVA-J26,-12.99
08/01/2026,Comcast Business - BILL-2020,-180.0
16/01/2026,Office Depot - OD-88213,-45.3
29/01/2026,LinkedIn Learning - LIL-40021,-39.99
03/02/2026,Intuit (QuickBooks Online) - INTU-FEB26,-90.0
05/02/2026,Adobe Inc. - ADBE-71018,-59.99
05/02/2026,Microsoft 365 - MSFT-30061,-28.0
07/02/2026,Comcast Business - CMCB-99027,-180.0
08/02/2026,Canva Pro - CANVA-F26,-12.99
14/02/2026,Meta Ads - META-88401,-150.0
20/02/2026,Office Depot - OD-88544,-62.75
22/02/2026,Delta Air Lines - DL-0022657,-312.6
02/03/2026,Meta Ads - BILL-2013,-300.0
03/03/2026,Intuit (QuickBooks Online) - INTU-MAR26,-90.0
05/03/2026,Adobe Inc. - ADBE-71029,-59.99
05/03/2026,Microsoft 365 - MSFT-30077,-28.0
07/03/2026,Comcast Business - CMCB-99041,-180.0
08/03/2026,Canva Pro - CANVA-M26,-12.99
11/03/2026,Skillshare - SKS-91233,-32.0
14/03/2026,Google Ads - GADS-55299,-120.0
14/03/2026,Office Depot - OD-88901,-79.99
18/03/2026,Delta Air Lines - DL-0031892,-289.4
26/03/2026,Metro Parking Authority - MPA-77104,-24.0
28/03/2026,Office Depot - OD-89012,-38.4
