Transaction #,Transaction Date,Payee/Vendor,Expense Account,Description,Amount,Payment Account,Payment Method,Reference,Customer/Project,Memo,Payee Type
EXP-3001,02/05/2026,Adobe Inc.,6320 Technology and Software:Design Software,Creative Cloud All Apps - monthly subscription,$59.99,2300 Credit Card,Credit Card,ADBE-71018,,"Auto-renewal, recurring monthly charge",Existing Master Vendor
EXP-3002,03/05/2026,Adobe Inc.,6320 Technology and Software:Design Software,Creative Cloud All Apps - monthly subscription,$59.99,2300 Credit Card,Credit Card,ADBE-71029,,"Auto-renewal, recurring monthly charge",Existing Master Vendor
EXP-3003,02/05/2026,Microsoft 365,6330 Technology and Software:Project Management Software,Microsoft 365 Business - monthly subscription,$28.00,2300 Credit Card,Credit Card,MSFT-30061,,"Office suite, email, file storage - closest available account",Existing Master Vendor
EXP-3004,03/05/2026,Microsoft 365,6330 Technology and Software:Project Management Software,Microsoft 365 Business - monthly subscription,$28.00,2300 Credit Card,Credit Card,MSFT-30077,,"Office suite, email, file storage - closest available account",Existing Master Vendor
EXP-3005,02/07/2026,Comcast Business,6360 Technology and Software:Internet and telecommunications services,Business internet & phone - February service,$180.00,2300 Credit Card,Credit Card,CMCB-99027,,"Monthly service, auto-pay",Existing Master Vendor
EXP-3006,03/07/2026,Comcast Business,6360 Technology and Software:Internet and telecommunications services,Business internet & phone - March service,$180.00,2300 Credit Card,Credit Card,CMCB-99041,,"Monthly service, auto-pay",Existing Master Vendor
EXP-3007,01/03/2026,Intuit (QuickBooks Online),6310 Technology and Software:Accounting Software,QuickBooks Online Plus - monthly subscription,$90.00,2300 Credit Card,Credit Card,INTU-JAN26,,"Platform subscription, not a formal vendor record",Generic/Incidental Payee (not in Vendor Master Register)
EXP-3008,02/03/2026,Intuit (QuickBooks Online),6310 Technology and Software:Accounting Software,QuickBooks Online Plus - monthly subscription,$90.00,2300 Credit Card,Credit Card,INTU-FEB26,,"Platform subscription, not a formal vendor record",Generic/Incidental Payee (not in Vendor Master Register)
EXP-3009,03/03/2026,Intuit (QuickBooks Online),6310 Technology and Software:Accounting Software,QuickBooks Online Plus - monthly subscription,$90.00,2300 Credit Card,Credit Card,INTU-MAR26,,"Platform subscription, not a formal vendor record",Generic/Incidental Payee (not in Vendor Master Register)
EXP-3010,01/10/2026,Metro Electric & Water Co.,6530 Other general and administrative expenses:Utilities,January electricity & water,$108.50,1110 Operating Checking Account,ACH,MEW-J26-0417,,"Generic incidental payee, not in Vendor Master Register",Generic/Incidental Payee (not in Vendor Master Register)
